FenceLength,PainterCount,InputSize,DpMedianMs,GreedyMedianMs,RatioMean,RatioMax
50,100,150,1.1140189999423455,0.4177730006631464,1.6103511847629495,2.909090909090909
100,200,300,2.3462259996449575,0.6637099977524485,2.4904700854700854,7.0
150,300,450,5.02807700104313,0.9754830025485717,1.9765998707175179,4.5
200,400,600,7.851365000533406,1.2819470030080993,2.3570202945202947,6.285714285714286
250,500,750,18.87345099748927,2.457048998621758,2.0098800664893006,3.4
300,600,900,18.38309999948251,2.0599810013663955,2.587140344175948,4.2
350,700,1050,32.38987200165866,2.8879689998575486,2.535063335357453,8.4
400,800,1200,29.756287000054726,2.3823020019335672,2.18233312983313,5.666666666666667
450,900,1350,40.707522002776386,2.781078001135029,2.261482624988817,4.285714285714286
500,1000,1500,47.05434499919647,2.884572997572832,2.0415651755651756,6.0
550,1100,1650,71.34196500192047,3.7352919971453957,2.8923723934018053,7.833333333333333
600,1200,1800,76.3997880021634,3.6759190006705467,2.049320133770598,3.5714285714285716
650,1300,1950,83.32210300068255,3.8276919985946734,2.3708991879580115,4.5
700,1400,2100,101.29099000187125,4.572765999910189,1.9212484900720195,3.9
750,1500,2250,116.27637399942614,4.74097400001483,2.402040123619071,4.5
800,1600,2400,158.88728799836827,6.425888997910079,2.9485470085470085,7.125
850,1700,2550,168.4672600022168,6.438827000238234,2.1832996632996635,6.666666666666667
900,1800,2700,241.89451900019776,6.5268959988316055,2.231262072980339,4.125
950,1900,2850,208.70110099713202,6.642031999945175,2.4042603366132775,3.6666666666666665
1000,2000,3000,220.8044239996525,7.201809999969555,2.3953186628186627,4.285714285714286
